id,resource,resource/identifier,resource/creators/creator/creatorName,resource/creators/creator/nameIdentifier,resource/titles/title,resource/publisher,resource/publicationYear,resource/subjects/subject,resource/dates/date,resource/language,resource/resourceType,resource/relatedIdentifiers/relatedIdentifier,resource/sizes/size,resource/formats/format,resource/rightsList/rights,resource/descriptions/description,resource/geoLocations/geoLocation/geoLocationBox,resource/contributors/contributor,resource/contributors/contributor/contributorName,resource/descriptions/description/br,resource/geoLocations/geoLocation/geoLocationPoint,date
oai:pangaea.de:doi:10.1594/PANGAEA.603890,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1969
oai:pangaea.de:doi:10.1594/PANGAEA.603891,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1970
oai:pangaea.de:doi:10.1594/PANGAEA.603892,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1970
oai:pangaea.de:doi:10.1594/PANGAEA.603998,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1970
oai:pangaea.de:doi:10.1594/PANGAEA.604000,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1970
oai:pangaea.de:doi:10.1594/PANGAEA.604005,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1972
oai:pangaea.de:doi:10.1594/PANGAEA.604011,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1975
oai:pangaea.de:doi:10.1594/PANGAEA.604012,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1975
oai:pangaea.de:doi:10.1594/PANGAEA.604013,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1977
oai:pangaea.de:doi:10.1594/PANGAEA.604014,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1977
oai:pangaea.de:doi:10.1594/PANGAEA.604015,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1978
oai:pangaea.de:doi:10.1594/PANGAEA.604016,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1980
oai:pangaea.de:doi:10.1594/PANGAEA.604843,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1981
oai:pangaea.de:doi:10.1594/PANGAEA.604844,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1983
oai:pangaea.de:doi:10.1594/PANGAEA.604845,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1984
oai:pangaea.de:doi:10.1594/PANGAEA.604846,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1980
oai:pangaea.de:doi:10.1594/PANGAEA.604852,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1973
oai:pangaea.de:doi:10.1594/PANGAEA.605207,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.605211,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007
oai:pangaea.de:doi:10.1594/PANGAEA.605226,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1967
oai:pangaea.de:doi:10.1594/PANGAEA.605275,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1969
oai:pangaea.de:doi:10.1594/PANGAEA.605402,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1972
