id,rdf:RDF,rdf:RDF/ow:Publication,rdf:RDF/ow:Publication/dc:creator,rdf:RDF/ow:Publication/dc:date,rdf:RDF/ow:Publication/dc:identifier,rdf:RDF/ow:Publication/dc:description,rdf:RDF/ow:Publication/dc:language,rdf:RDF/ow:Publication/dc:relation,rdf:RDF/ow:Publication/dc:title,rdf:RDF/ow:Publication/dc:type,rdf:RDF/ow:Publication/dc:contributor,rdf:RDF/ow:Publication/dc:source,rdf:RDF/ow:Publication/dc:rights,rdf:RDF/ow:Publication/dc:publisher,rdf:RDF/ow:Publication/dc:coverage,rdf:RDF/ow:Publication/dc:subject,date
oai:secundus.datadryad.org:10255/dryad.169,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-07-30T21:34:51Z
oai:secundus.datadryad.org:10255/dryad.170,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-08-06T19:05:42Z
oai:secundus.datadryad.org:10255/dryad.171,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-08-06T19:21:50Z
oai:secundus.datadryad.org:10255/dryad.172,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-08-06T19:22:41Z
oai:secundus.datadryad.org:10255/dryad.173,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-08-06T19:23:29Z
oai:secundus.datadryad.org:10255/dryad.174,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-08-06T19:24:18Z
oai:secundus.datadryad.org:10255/dryad.175,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-08-06T19:24:45Z
oai:secundus.datadryad.org:10255/dryad.176,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-08-06T19:25:20Z
oai:secundus.datadryad.org:10255/dryad.177,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-08-06T19:26:24Z
oai:secundus.datadryad.org:10255/dryad.179,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,2008-09-18T17:53:25Z
oai:secundus.datadryad.org:10255/dryad.181,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,2008-09-19T18:28:56Z
oai:secundus.datadryad.org:10255/dryad.180,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-09-19T18:07:19Z
oai:secundus.datadryad.org:10255/dryad.182,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-09-23T16:59:20Z
oai:secundus.datadryad.org:10255/dryad.183,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-09-23T17:17:57Z
oai:secundus.datadryad.org:10255/dryad.184,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-09-23T18:00:45Z
oai:secundus.datadryad.org:10255/dryad.185,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-09-25T17:33:02Z
oai:secundus.datadryad.org:10255/dryad.186,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-09-26T15:19:53Z
oai:secundus.datadryad.org:10255/dryad.188,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2008-09-26T15:52:57Z
oai:secundus.datadryad.org:10255/dryad.189,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2008-09-26T15:58:17Z
oai:secundus.datadryad.org:10255/dryad.190,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2008-09-30T16:29:15Z
oai:secundus.datadryad.org:10255/dryad.191,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2008-09-30T16:39:48Z
oai:secundus.datadryad.org:10255/dryad.192,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2008-09-30T16:45:37Z
oai:secundus.datadryad.org:10255/dryad.193,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2008-09-30T17:13:31Z
oai:secundus.datadryad.org:10255/dryad.194,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2008-09-30T17:17:00Z
oai:secundus.datadryad.org:10255/dryad.195,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2008-09-30T17:24:00Z
oai:secundus.datadryad.org:10255/dryad.196,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,2008-09-30T17:30:38Z
oai:secundus.datadryad.org:10255/dryad.197,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-10-02T16:33:51Z
oai:secundus.datadryad.org:10255/dryad.198,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-10-02T16:48:46Z
oai:secundus.datadryad.org:10255/dryad.199,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-10-02T17:33:58Z
oai:secundus.datadryad.org:10255/dryad.200,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,2008-10-02T17:39:41Z
