id,atom:entry,atom:entry/atom:id,atom:entry/atom:link,atom:entry/atom:published,atom:entry/atom:updated,atom:entry/atom:source/atom:generator,atom:entry/atom:title,atom:entry/atom:author/atom:name,atom:entry/atom:category,atom:entry/oreatom:triples/rdf:Description,atom:entry/oreatom:triples/rdf:Description/rdf:type,atom:entry/oreatom:triples/rdf:Description/dcterms:modified,atom:entry/oreatom:triples/rdf:Description/dcterms:description,date
oai:secundus.datadryad.org:10255/dryad.164,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:28.101+00:00
oai:secundus.datadryad.org:10255/dryad.165,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.103+00:00
oai:secundus.datadryad.org:10255/dryad.166,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:28.107+00:00
oai:secundus.datadryad.org:10255/dryad.167,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.109+00:00
oai:secundus.datadryad.org:10255/dryad.168,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.112+00:00
oai:secundus.datadryad.org:10255/dryad.169,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.115+00:00
oai:secundus.datadryad.org:10255/dryad.170,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.118+00:00
oai:secundus.datadryad.org:10255/dryad.171,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.121+00:00
oai:secundus.datadryad.org:10255/dryad.172,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.124+00:00
oai:secundus.datadryad.org:10255/dryad.173,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.126+00:00
oai:secundus.datadryad.org:10255/dryad.174,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.130+00:00
oai:secundus.datadryad.org:10255/dryad.175,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.133+00:00
oai:secundus.datadryad.org:10255/dryad.176,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.136+00:00
oai:secundus.datadryad.org:10255/dryad.177,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.139+00:00
oai:secundus.datadryad.org:10255/dryad.179,1,1,1,1,1,1,1,1,1,1,1,1,0,2019-05-20T14:18:28.142+00:00
oai:secundus.datadryad.org:10255/dryad.181,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.145+00:00
oai:secundus.datadryad.org:10255/dryad.180,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.148+00:00
oai:secundus.datadryad.org:10255/dryad.182,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.153+00:00
oai:secundus.datadryad.org:10255/dryad.183,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.157+00:00
oai:secundus.datadryad.org:10255/dryad.184,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.161+00:00
oai:secundus.datadryad.org:10255/dryad.185,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.164+00:00
oai:secundus.datadryad.org:10255/dryad.186,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.168+00:00
oai:secundus.datadryad.org:10255/dryad.188,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.172+00:00
oai:secundus.datadryad.org:10255/dryad.189,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.177+00:00
oai:secundus.datadryad.org:10255/dryad.190,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.182+00:00
oai:secundus.datadryad.org:10255/dryad.191,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-05-20T14:18:28.187+00:00
